Filename,Predictions
0751.png,
0752.png,
0753.png,
0754.png,
0755.png,
0756.png,
0757.png,
0758.png,
0759.png,
0760.png,
0761.png,
0762.png,
0763.png,
0764.png,
0765.png,
0766.png,
0767.png,
0768.png,
0769.png,
0770.png,
0771.png,
0772.png,
0773.png,
0774.png,
0775.png,
0776.png,
0777.png,
0778.png,
0779.png,
0780.png,
0781.png,
0782.png,
0783.png,
0784.png,
0785.png,
0786.png,
0787.png,
0788.png,
0789.png,
0790.png,
0791.png,
0792.png,
0793.png,
0794.png,Fire
0795.png,
0796.png,
0797.png,
0798.png,
0799.png,
0800.png,
0801.png,
